Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers,
37,Image037,3024,4032,37.590298,127.016814,1,0,0,0,0,
38,Image038,3024,4032,37.590271,127.016846,1,0,0,0,0,
39,Image039,3024,4032,37.590249,127.016884,0,0,0,0,1,
40,Image040,3024,4032,37.590215,127.016924,0,0,0,0,1,
41,Image041,3024,4032,37.590198,127.01672,1,1,0,0,0,
42,Image042,3024,4032,37.590171,127.016983,1,1,0,0,0,
43,Image043,3024,4032,37.590156,127.017012,0,0,1,0,0,
44,Image044,3024,4032,37.590109,127.017053,1,0,0,0,0,
45,Image045,3024,4032,37.590065,127.017114,1,0,0,0,0,
46,Image046,3024,4032,37.588515,127.018928,1,0,0,0,0,
47,Image047,3024,4032,37.588427,127.019023,1,0,0,0,0,
48,Image048,3024,4032,37.58847,127.018947,1,0,0,0,0,
49,Image049,3024,4032,37.588433,127.019012,1,0,0,0,0,
50,Image050,3024,4032,37.589777,127.01667,1,0,0,0,0,
51,Image051,3024,4032,37.589739,127.016771,1,0,0,0,0,(¼è)
52,Image052,3024,4032,37.589739,127.016771,1,0,0,0,0,
53,Image053,3024,4032,37.589739,127.016771,1,0,0,0,0,
54,Image054,3024,4032,37.589739,127.016771,0,0,0,0,1,
55,Image055,3024,4032,37.589788,127.016802,1,0,0,0,0,
56,Image056,3024,4032,37.590063,127.017236,1,0,0,0,0,
57,Image057,3024,4032,37.59009,127.017257,1,0,0,0,0,(Ã¶¶Ñ²±)
58,Image058,3024,4032,37.590379,127.017161,0,0,0,0,1,
59,Image059,3024,4032,37.590284,127.01689,0,1,0,0,0,
60,Image060,3024,4032,37.590171,127.016983,0,0,0,1,0,
61,Image061,3024,4032,37.590156,127.017012,0,0,0,1,0,
62,Image062,3024,4032,37.575694,127.078609,0,0,0,0,1,
63,Image063,3024,4032,37.590092,127.016826,1,0,0,0,0,
64,Image064,3024,4032,37.589939,127.017281,1,0,0,0,0,
65,Image065,3024,4032,37.589739,127.016771,1,0,0,0,0,(¼è)
66,Image066,3024,4032,37.541728,127.027641,1,0,0,0,0,
67,Image067,3024,4032,37.541728,127.027641,1,0,0,0,0,
68,Image068,3024,4032,37.56981,127.078274,1,0,0,0,0,
69,Image069,3024,4032,37.56981,127.078274,1,0,0,0,0,
70,Image070,3024,4032,37.567931,127.077191,0,1,0,0,0,
71,Image071,3024,4032,37.56718,127.076731,0,0,0,0,1,
72,Image072,3024,4032,37.563719,127.074845,1,0,0,0,0,
73,Image073,3024,4032,37.563254,127.074566,0,1,0,0,0,
74,Image074,3024,4032,37.563254,127.074566,0,1,0,0,0,
75,Image075,3024,4032,37.563254,127.074566,0,1,0,0,0,
76,Image076,3024,4032,37.561774,127.077691,1,0,0,0,0,
77,Image077,3024,4032,37.560186,127.072843,1,0,0,0,0,
78,Image078,3024,4032,37.560164,127.072779,1,0,0,0,0,
79,Image079,3024,4032,37.529697,127.064567,1,0,0,0,0,
80,Image080,3024,4032,37.529726,127.064497,1,0,0,0,0,
81,Image081,3024,4032,37.529741,127.064452,1,0,0,0,0,
82,Image082,3024,4032,37.529776,127.064366,1,0,0,0,0,
83,Image083,3024,4032,37.530009,127.063745,1,0,0,0,0,
84,Image084,3024,4032,37.530009,127.063745,1,0,0,0,0,
85,Image085,3024,4032,37.530112,127.063449,1,0,0,0,0,
86,Image086,3024,4032,37.530194,127.063265,1,0,0,0,0,
87,Image087,3024,4032,37.530194,127.063265,1,0,0,0,0,
88,Image088,3024,4032,37.530227,127.063197,1,0,0,0,0,
89,Image089,3024,4032,37.530247,127.063142,1,0,0,0,0,
90,Image090,3024,4032,37.530299,127.063031,1,0,0,0,0,
91,Image091,3024,4032,37.530499,127.062631,1,0,0,0,0,
92,Image092,3024,4032,37.530958,127.061618,1,0,0,0,0,
93,Image093,3024,4032,37.531491,127.060622,0,1,0,0,0,
94,Image094,3024,4032,37.531498,127.060608,0,1,0,0,0,
95,Image095,3024,4032,37.531491,127.060622,0,1,0,0,0,
96,Image096,3024,4032,37.531491,127.060622,0,1,0,0,0,
97,Image097,3024,4032,37.531491,127.060622,0,1,0,0,0,
98,Image098,3024,4032,37.528975,127.066702,1,1,0,0,0,
99,Image099,3024,4032,37.528975,127.066702,1,1,0,0,0,
100,Image100,3024,4032,37.528935,127.066879,1,0,0,0,0,
