Number,Data_Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
34,sample034,1080,1440,37.4807051,126.8458342,1,0,0,0,0
35,sample035,1080,1440,37.48093294,126.8452677,0,0,1,0,0
36,sample036,1080,1440,37.48093294,126.8452677,0,0,1,0,0
37,sample037,1080,1440,37.48058244,126.8337782,1,1,0,0,0
38,sample038,1080,1440,37.48058244,126.8337782,1,0,0,0,0
39,sample039,1080,1440,37.48093294,126.8452677,0,0,1,0,0
40,sample040,1080,1440,37.48125167,126.8322539,0,1,0,0,0
41,sample041,1080,1440,37.48125167,126.8322539,1,0,0,0,0
42,sample042,1080,1440,37.48125167,126.8322539,1,0,0,0,0
43,sample043,1080,1440,37.48175292,126.836508,1,0,0,0,0
44,sample044,1080,1440,37.48175292,126.836508,1,1,0,0,0
45,sample045,1080,1440,37.48175292,126.836508,0,1,0,0,0
46,sample046,1080,1440,37.48175292,126.836508,1,1,0,0,0
47,sample047,1080,1440,37.48175292,126.836508,1,1,0,0,0
48,sample048,1080,1440,37.47949009,126.8231936,1,1,0,0,0
49,sample049,1080,1440,37.44049833,126.8517245,1,0,0,0,0
50,sample050,1080,1440,37.44049833,126.8517245,1,0,0,0,0
51,sample051,1080,1440,37.44049833,126.8517245,0,1,0,0,0
52,sample052,1080,1440,37.44049833,126.8517245,1,1,0,0,1
53,sample053,1080,1440,37.44049833,126.8517245,0,1,0,0,0
54,sample054,1080,1440,37.44049833,126.8517245,0,1,0,0,0
55,sample055,1080,1440,37.44049833,126.8517245,1,1,0,0,0
56,sample056,1080,1440,37.48158901,126.8482439,0,1,0,0,0
57,sample057,1080,1440,37.48158901,126.8482439,1,0,0,0,0
58,sample058,1080,1440,37.48158901,126.8482439,1,0,0,0,0
59,sample059,1080,1440,37.48158901,126.8482439,1,0,0,0,0
60,sample060,1080,1440,37.48158901,126.8482439,0,1,0,0,0
61,sample061,1080,1440,37.48158901,126.8482439,1,1,0,0,0
62,sample062,1080,1440,37.48158901,126.8482439,0,1,0,0,0
63,sample063,1080,1440,37.48158901,126.8482439,1,0,0,0,0
64,sample064,1080,1440,37.48158901,126.8482439,0,1,0,0,0
65,sample065,1080,1440,37.48158901,126.8482439,0,1,0,0,0
66,sample066,1080,1440,37.48158901,126.8482439,0,1,0,0,0
67,sample067,1080,1440,37.48158901,126.8482439,1,1,0,0,0
68,sample068,1080,1440,37.48158901,126.8482439,0,1,0,0,0
69,sample069,1080,1440,37.48158901,126.8482439,0,1,0,0,0
70,sample070,1080,1440,37.48158901,126.8482439,1,1,0,0,0
71,sample071,1080,1440,37.48158901,126.8482439,0,1,0,0,0
72,sample072,1080,1440,37.48158901,126.8482439,0,1,0,0,0
73,sample073,1080,1440,37.4807051,126.8458342,0,1,0,0,0
74,sample074,1080,1440,37.48158901,126.8482439,0,1,0,0,0
75,sample075,1080,1440,37.48158901,126.8482439,0,1,0,0,0
76,sample076,1080,1440,37.48158901,126.8482439,0,1,0,0,0
77,sample077,1080,1440,37.48158901,126.8482439,0,1,0,0,0
78,sample078,1080,1440,37.48158901,126.8482439,1,0,0,0,0
79,sample079,1080,1440,37.48158901,126.8482439,0,1,0,0,0
80,sample080,1080,1440,37.48158901,126.8482439,1,0,0,0,0
81,sample081,1080,1440,37.48158901,126.8482439,0,1,0,0,0
82,sample082,1080,1440,37.48158901,126.8482439,1,0,0,0,0
83,sample083,1080,1440,37.48158901,126.8482439,0,1,0,0,0
84,sample084,1080,1440,37.48158901,126.8482439,0,0,1,0,0
85,sample085,1080,1440,37.48158901,126.8482439,1,0,0,0,0
86,sample086,1080,1440,37.48158901,126.8482439,0,1,0,0,0
87,sample087,1080,1440,37.42765082,126.8100992,1,1,0,0,0
88,sample088,1080,1440,37.42765082,126.8100992,1,1,0,0,0
89,sample089,1080,1440,37.42765082,126.8100992,1,1,0,0,0
90,sample090,1080,1440,37.42765082,126.8100992,0,1,0,0,0
91,sample091,1080,1440,37.42765082,126.8100992,1,1,1,0,1
92,sample092,1080,1440,37.42765082,126.8100992,0,1,0,0,0
93,sample093,1080,1440,37.42765082,126.8100992,0,1,1,0,0
94,sample094,1080,1440,37.42765082,126.8100992,0,1,1,0,0
95,sample095,1080,1440,37.42765082,126.8100992,1,1,0,0,0
96,sample096,1080,1440,37.42765082,126.8100992,0,0,0,0,1
97,sample097,1080,1440,37.42765082,126.8100992,0,1,0,0,0
98,sample098,1080,1440,37.42765082,126.8100992,0,1,0,0,0
99,sample099,1080,1440,37.42765082,126.8100992,0,1,0,0,0
100,sample100,1080,1440,37.42765082,126.8100992,0,1,0,0,0
