Number,Name,Widths,Heights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
22,KakaoTalk_20221014_140610960_17,4032,3024,35.01333627,127.0022267,1,0,0,0,0
23,KakaoTalk_20221014_140610960_18,4032,3024,35.01333627,127.0022267,1,0,0,0,0
24,KakaoTalk_20221014_140610960_19,4032,3024,35.01333627,127.0022267,0,0,0,0,1
25,KakaoTalk_20221014_140610960_20,4032,3024,35.01333627,127.0022267,0,0,1,0,0
26,KakaoTalk_20221014_140610960_21,3024,4032,35.01333627,127.0022268,0,0,0,0,1
27,KakaoTalk_20221014_140610960_22,3024,4032,35.01333628,127.0022268,1,0,0,0,0
28,KakaoTalk_20221014_140610960_23,4032,3024,35.01333628,127.0022268,0,0,0,1,0
29,KakaoTalk_20221014_140610960_24,4032,3024,35.01333627,127.0022268,0,1,0,0,0
30,KakaoTalk_20221014_140610960_25,4032,3024,35.01333627,127.0022268,0,0,0,0,1
31,KakaoTalk_20221014_140610960_26,4032,3024,35.01333628,127.0022268,0,0,1,0,0
32,KakaoTalk_20221014_140610960_27,4032,3024,35.01333629,127.0022268,0,0,1,0,0
33,KakaoTalk_20221014_140610960_28,4032,3024,35.01333628,127.0022268,1,0,0,0,0
34,KakaoTalk_20221014_140610960_29,4032,3024,35.01333627,127.0022269,1,0,0,0,0
35,KakaoTalk_20221014_140650573,4032,3024,35.01333626,127.0025,1,0,0,0,0
36,KakaoTalk_20221014_140650573_01,4032,3024,35.01333623,127.0025005,1,0,0,0,0
37,KakaoTalk_20221014_140650573_02,4032,3024,35.01333623,127.0025005,1,0,0,0,1
38,KakaoTalk_20221014_140650573_03,4032,3024,35.01333623,127.0025005,0,0,0,0,1
39,KakaoTalk_20221014_140650573_04,4032,3024,35.01333623,127.0025005,1,0,0,0,1
40,KakaoTalk_20221014_140650573_05,4032,3024,35.01333624,127.0025005,1,0,0,0,0
41,KakaoTalk_20221014_140650573_06,4032,3024,35.01333623,127.0025005,1,0,0,0,0
42,KakaoTalk_20221014_140650573_07,4032,3024,35.01333627,127.0025,1,0,0,0,0
43,KakaoTalk_20221014_140650573_08,4032,3024,35.01333625,127.0025005,0,0,1,0,0
44,KakaoTalk_20221014_140650573_09,4032,3024,35.01333633,127.0022267,0,0,0,1,0
45,KakaoTalk_20221014_140650573_10,4032,3024,35.01333632,127.0022267,1,0,0,0,0
46,KakaoTalk_20221014_140650573_11,4032,3024,35.01333633,127.0022267,0,1,0,0,0
47,KakaoTalk_20221014_140650573_12,4032,3024,35.01333638,127.0022266,1,0,0,0,0
48,KakaoTalk_20221014_140650573_13,4032,3024,35.01333638,127.0022266,0,0,0,0,1
49,KakaoTalk_20221014_140650573_14,4032,3024,35.01055565,127.005001,0,0,0,0,1
50,KakaoTalk_20221014_140650573_15,4032,3024,35.01055566,127.005001,0,0,0,0,1
51,KakaoTalk_20221014_140650573_16,4032,3024,35.01055569,127.0050009,0,0,0,0,1
52,KakaoTalk_20221014_140650573_17,4032,3024,35.01055571,127.005001,0,1,0,0,0
53,KakaoTalk_20221014_140650573_18,4032,3024,35.00666766,127.0061147,1,0,0,0,0
54,KakaoTalk_20221014_140650573_19,4032,3024,35.01250168,127.0063935,1,0,0,0,0
55,KakaoTalk_20221014_140650573_20,4032,3024,35.01250186,127.0066688,1,0,0,0,0
56,KakaoTalk_20221014_140650573_21,4032,3024,35.01250186,127.0066688,1,0,0,0,0
57,KakaoTalk_20221014_140650573_22,4032,3024,35.01250184,127.0066688,1,0,0,0,0
58,KakaoTalk_20221014_140650573_23,4032,3024,35.01250182,127.0066688,0,1,0,0,0
59,KakaoTalk_20221014_140650573_24,4032,3024,35.01250195,127.0066672,0,1,0,0,0
60,KakaoTalk_20221014_140650573_25,4032,3024,35.01250187,127.006667,0,1,0,0,0
61,KakaoTalk_20221014_140650573_26,4032,3024,35.01250187,127.006667,0,0,1,0,0
62,KakaoTalk_20221014_140650573_27,4032,3024,35.01250186,127.0066669,1,0,0,0,0
63,KakaoTalk_20221014_140650573_28,4032,3024,35.01250185,127.0066667,1,0,0,0,0
64,KakaoTalk_20221014_140650573_29,4032,3024,35.01250185,127.0063935,0,0,0,0,1
65,KakaoTalk_20221014_140727237,4032,3024,35.01250169,127.0063935,1,1,0,0,1
66,KakaoTalk_20221014_140727237_01,4032,3024,35.01250169,127.0063935,1,0,0,0,0
67,KakaoTalk_20221014_140727237_02,4032,3024,35.0125017,127.0063935,0,1,0,0,0
68,KakaoTalk_20221014_140727237_03,4032,3024,35.01250169,127.0063935,0,1,0,0,0
69,KakaoTalk_20221014_140727237_04,4032,3024,35.0125017,127.0063935,0,0,0,1,0
70,KakaoTalk_20221014_140727237_05,4032,3024,35.01250171,127.0063935,1,0,0,0,0
71,KakaoTalk_20221014_140727237_06,4032,3024,35.01250171,127.0063935,1,0,0,0,0
72,KakaoTalk_20221014_140727237_07,4032,3024,35.01250172,127.0063935,0,1,0,0,0
73,KakaoTalk_20221014_140727237_08,4032,3024,35.01250199,127.006393,1,0,0,0,0
74,KakaoTalk_20221014_140727237_09,4032,3024,35.01250202,127.0063929,1,0,0,0,0
75,KakaoTalk_20221014_140727237_10,4032,3024,35.01250202,127.0063929,0,1,0,0,0
76,KakaoTalk_20221014_140727237_11,4032,3024,35.01250203,127.0063929,1,0,0,0,0
77,KakaoTalk_20221014_140727237_12,4032,3024,35.01250204,127.0063929,0,1,0,0,0
78,KakaoTalk_20221014_140727237_13,4032,3024,35.01250204,127.0063929,0,1,0,0,0
79,KakaoTalk_20221014_140727237_14,4032,3024,35.01250204,127.0063929,0,0,0,0,1
80,KakaoTalk_20221014_140727237_15,4032,3024,35.01250204,127.0063929,1,0,0,0,0
81,KakaoTalk_20221014_140727237_16,4032,3024,35.01250205,127.0063929,0,1,0,0,0
82,KakaoTalk_20221014_140727237_17,4032,3024,35.01250205,127.0063929,1,0,0,0,0
83,KakaoTalk_20221014_140727237_18,4032,3024,35.01250205,127.0063929,1,1,0,0,0
84,KakaoTalk_20221014_140727237_19,4032,3024,35.01250205,127.0063928,0,1,0,0,0
85,KakaoTalk_20221014_140727237_20,4032,3024,35.01250205,127.0063928,0,0,1,0,0
86,KakaoTalk_20221014_140727237_21,4032,3024,35.01250205,127.0063928,1,0,0,0,0
87,KakaoTalk_20221014_140727237_22,4032,3024,35.01250205,127.0063928,0,1,0,0,0
88,KakaoTalk_20221014_140727237_23,4032,3024,35.01250205,127.0063928,0,0,0,0,1
89,KakaoTalk_20221014_140727237_24,4032,3024,35.01250205,127.0063928,0,1,0,0,0
90,KakaoTalk_20221014_140727237_25,4032,3024,35.01250205,127.0063928,0,1,0,0,0
91,KakaoTalk_20221014_140727237_26,4032,3024,35.01250205,127.0063928,0,0,1,0,0
92,KakaoTalk_20221014_140727237_27,4032,3024,35.01250206,127.0063928,0,0,0,0,1
93,KakaoTalk_20221014_140727237_28,4032,3024,35.01250206,127.0063928,0,1,0,0,0
94,KakaoTalk_20221014_140803321,4032,3024,35.01250206,127.0063928,0,1,0,0,0
95,KakaoTalk_20221014_140803321_01,4032,3024,35.01250206,127.0063928,1,0,0,0,1
96,KakaoTalk_20221014_140803321_02,4032,3024,35.01250206,127.0063928,0,0,1,0,0
97,KakaoTalk_20221014_140803321_03,1495,2059,35.01250206,127.0063928,1,0,0,0,0
98,KakaoTalk_20221014_140803321_04,4032,3024,35.01250206,127.0063928,0,0,0,0,1
99,KakaoTalk_20221014_140803321_05,4032,3024,35.01250206,127.0063928,0,1,0,0,0
100,KakaoTalk_20221014_140803321_06,4032,3024,35.01250207,127.0063928,0,0,1,0,0
101,KakaoTalk_20221014_140803321_07,4032,3024,35.01250207,127.0063928,1,0,0,0,0
102,KakaoTalk_20221014_140803321_08,4032,3024,35.01250209,127.0063927,0,0,1,0,0
103,KakaoTalk_20221014_140803321_09,4032,3024,35.01250209,127.0063927,0,0,0,0,1
104,KakaoTalk_20221014_140803321_10,4032,3024,35.01250209,127.0063927,1,0,0,0,0
105,KakaoTalk_20221014_140803321_11,4032,3024,35.0125021,127.0063927,0,0,0,0,1
106,KakaoTalk_20221014_140803321_12,4032,3024,35.0125021,127.0063927,1,0,0,0,0
107,KakaoTalk_20221014_140803321_13,4032,3024,35.0125021,127.0063927,1,0,0,0,0
108,KakaoTalk_20221014_140803321_14,4032,3024,35.01250211,127.0063927,0,0,0,0,1
109,KakaoTalk_20221014_140803321_15,4032,3024,35.01250211,127.0063926,0,0,0,0,1
110,KakaoTalk_20221014_140803321_16,4032,3024,35.01250211,127.0063926,0,0,1,0,0
111,KakaoTalk_20221014_140803321_17,4032,3024,35.01250211,127.0063926,1,0,0,0,0
112,KakaoTalk_20221014_140803321_18,4032,3024,35.01250211,127.0063926,0,0,0,0,1
113,KakaoTalk_20221014_140803321_19,4032,3024,35.01250211,127.0063926,1,0,0,0,0
114,KakaoTalk_20221014_140803321_20,4032,3024,37.00889344,127.0016696,1,1,0,0,1
115,KakaoTalk_20221014_140803321_21,4032,3024,37.00916765,127.0016701,1,0,0,0,0
116,KakaoTalk_20221014_140803321_22,4032,3024,37.00889349,127.0016696,1,1,0,0,1
117,KakaoTalk_20221014_140803321_23,4032,3024,37.00917083,127.0030569,0,1,0,0,0
118,KakaoTalk_20221014_140803321_24,4032,3024,37.00917082,127.0030569,1,0,0,0,0
119,KakaoTalk_20221014_140803321_25,4032,3024,37.00917072,127.0030571,1,0,0,0,0
120,KakaoTalk_20221014_140803321_26,4032,3024,37.00917052,127.0030572,1,0,0,0,0
121,KakaoTalk_20221014_140803321_27,4032,3024,37.00917049,127.0030572,0,0,0,0,1
122,KakaoTalk_20221014_140803321_28,4032,3024,37.00917046,127.0030572,1,0,0,0,0
123,KakaoTalk_20221014_140803321_29,4032,3024,37.00917029,127.0030572,1,0,0,0,0
