"Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers"
"57,img_1594,4032,3024,37.5034,127.0998,1,0,0,0,0"
"58,img_1595,4032,3024,37.5528,127.0926,1,0,0,0,0"
"59,img_1596,4032,3024,37.5782,127.09854,1,0,0,0,0"
"60,img_1597,4032,3024,37.5315,127.0972,2,0,0,0,0"
"61,img_1609,4032,3024,37.5094,127.0123,1,0,0,0,0"
"62,img_1610,4032,3024,37.5920,127.0127,0.1,0,0,0"
"63,img_1649,4032,3024,37.5087,127.0941,1,0,0,0,0"
"64,img_1660,4032,3024,37.5087,127.0931,1,0,0,0,0"
"65,img_1661,4032,3024,37.5087,127.0923,1,0,0,0,0"
"66,img_1662,4032,3024,37.5082,127.0979,1,0,0,0,0"
"67,img_1666,4032,3024,37.5034,127.0914,0,1,1,0,0"
"68,img_1667,4032,3024,37.5085,127.0124,1,0,0,0,0"
"69,img_1670,4032,3024,37.5083,127.0998,1,0,0,0,0"
"70,img_1671,4032,3024,37.5083,127.0999,1,0,0,0,0"
"71,img_1672,4032,3024,37.5087,127.0945,1,0,0,0,0"
"72,img_1673,4032,3024,37.5085,127.0929,1,0,0,0,0"
"73,img_1674,4032,3024,37.5086,127.0995,0,1,0,0,0"
"74,img_1694,4032,3024,37.5067,127.0269,1,0,0,0,0"
"75,img_1695,4032,3024,37.5087,127.0994,1,0,0,0,0"
"76,img_1696,4032,3024,37.5088,127.0914,1,0,0,0,0"
"77,img_1739,4032,3024,37.5087,127.0978,1,0,0,0,0"
"78,img_1740,4032,3024,37.5087,127.0990,0,1,0,0,0"
"79,img_1741,4032,3024,37.5087,127.0991,0,1,0,0,0"
"80,img_1742,4032,3024,37.5087,127.0990,0,1,0,0,0"
"81,img_1743,4032,3024,37.5087,127.0941,0,1,0,0,0"
"82,img_1744,4032,3024,37.5085,127.0905,0,1,0,0,0"
"83,img_1745,4032,3024,37.5089,127.0925,0,2,0,0,0"
"84,img_1746,4032,3024,37.5077,127.0936,0,1,0,0,0"
"85,img_1747,4032,3024,37.5089,127.0993,1,0,0,0,0"
"86,img_1748,4032,3024,37.5087,127.0995,2,0,0,0,0"
"87,img_1749,4032,3024,37.5087,127.0993,1,0,0,0,0"
"88,img_1770,4032,3024,37.5087,127.0985,1,0,0,0,0"
"89,img_1771,4032,3024,37.5087,127.0973,1,0,0,0,0"
"90,img_1772,4032,3024,37.5087,127.0925,1,0,0,0,0"
"91,img_1773,4032,3024,37.5088,127.0979,1,0,0,0,0"
"92,img_1774,4032,3024,37.5085,127.0914,1,0,0,0,0"
"93,img_1775,4032,3024,37.5087,127.0925,1,0,0,0,0"
"94,img_1778,4032,3024,37.5087,127.09913,1,0,0,0,0"
"95,img_1779,4032,3024,37.5037,127.0990,1,0,0,0,0"
"96,img_1780,4032,3024,37.5087,127.0991,1,0,0,0,0"
"97,img_1352,4032,3024,37.5087,127.0904,0,0,1,0,0"
"98,img_1316,4032,3024,37.5085,127.0914,1,0,0,0,0"
"99,img_1337,4032,3024,37.5089,127.0914,1,0,0,0,0"
"100,img_1346,4032,3024,37.5087,127.0990,1,0,0,0,0"
