Number,Name,Widths,Heights,Latitude,Longtitude,Rubbish,Plastics,Cans,Glass,Papers
31,IMG_3788.png,3024,4032,37.56,127.19,1,0,0,0,0
32,IMG_3744.png,1980,2640,37.56,127.19,1,1,0,0,0
33,IMG_3746.png,1980,2640,37.56,127.19,1,1,0,0,0
34,IMG_3749.png,3024,4032,37.56,127.19,1,1,0,0,0
35,IMG_3750.png,3024,4032,37.56,127.19,1,1,0,0,0
36,IMG_3675.png,3024,4032,37.56,127.19,0,1,0,0,0
37,IMG_3776.png,3024,4032,37.56,127.19,0,1,0,0,0
38,IMG_3777.png,3024,4032,37.56,127.19,0,1,0,0,0
39,IMG_3778.png,3024,4032,37.56,127.19,0,1,0,0,0
40,IMG_3770.png,3024,4032,37.56,127.19,0,1,0,0,0
41,IMG_3771.png,3024,4032,37.56,127.19,0,1,0,0,0
42,IMG_3773.png,3024,4032,37.56,127.19,0,1,0,0,0
43,IMG_3774.png,3024,4032,37.56,127.19,0,1,0,0,0
44,IMG_3765.png,3024,4032,37.56,127.19,0,1,0,0,0
45,IMG_3767.png,3024,4032,37.56,127.19,0,1,0,0,0
46,IMG_3768.png,3024,4032,37.56,127.19,0,1,0,0,0
47,IMG_3769.png,3024,4032,37.56,127.19,0,1,0,0,0
48,IMG_3643.png,3024,4032,37.56,127.19,0,1,0,0,0
49,IMG_3710.png,3024,4032,37.56,127.19,0,1,0,0,0
50,IMG_3712.png,3024,4032,37.56,127.19,0,1,0,0,0
51,IMG_3714.png,3024,4032,37.56,127.19,0,1,0,0,0
52,IMG_3582.png,3024,4032,37.56,127.19,0,0,1,0,0
53,IMG_3671.png,3000,4000,37.56,127.19,0,0,1,0,0
54,IMG_3584.png,3024,4032,37.56,127.19,0,0,1,0,0
55,IMG_3634.png,3024,4032,37.56,127.19,0,0,1,0,0
56,IMG_3720.png,3024,4032,37.56,127.19,0,0,1,0,0
57,IMG_3721.png,3024,4032,37.56,127.19,0,0,1,0,0
58,IMG_3722.png,3024,4032,37.56,127.19,0,0,1,0,0
59,IMG_3723.png,3024,4032,37.56,127.19,0,0,1,0,0
60,IMG_3578.png,3024,4032,37.56,127.19,0,0,0,0,1
61,IMG_3673.png,3000,4000,37.56,127.19,0,0,0,0,1
62,IMG_3579.png,3024,4032,37.56,127.19,0,0,0,0,1
63,IMG_3672.png,3000,4000,37.56,127.19,0,0,0,0,1
64,IMG_3859.png,3024,4032,37.56,127.19,0,1,0,0,0
65,IMG_6544.png,3024,4032,37.56,127.19,0,1,0,0,0
66,IMG_6540.png,3024,4032,37.33,127.11,1,0,0,0,0
67,IMG_6541.png,3024,4032,37.33,127.11,1,0,0,0,0
68,IMG_6543.png,3024,4032,37.33,127.11,1,0,0,0,0
69,IMG_3872.png,2268,4032,37.33,127.11,1,0,0,0,0
70,IMG_3873.png,3024,4032,37.33,127.11,1,0,0,0,0
71,IMG_3874.png,3024,4032,37.33,127.11,1,0,0,0,0
72,IMG_3875.png,3024,4032,37.33,127.11,1,0,0,0,0
73,IMG_3878.png,3024,4032,37.33,127.11,1,0,0,0,0
74,IMG_3879.png,2479,3305,37.33,127.11,1,0,0,0,0
75,IMG_3880.png,3024,4032,37.33,127.11,1,0,0,0,0
76,IMG_3881.png,3024,4032,37.33,127.11,1,0,0,0,0
77,IMG_3861.png,3024,4032,37.33,127.11,1,1,0,0,0
78,IMG_3863.png,3024,4032,37.33,127.11,1,1,0,0,0
79,IMG_3864.png,1925,2566,37.33,127.11,1,1,0,0,0
80,IMG_9728.png,1536,2049,37.53,127.07,1,0,0,0,0
81,IMG_9729.png,1152,1536,37.53,127.07,1,0,0,0,0
82,IMG_9730.png,1536,2049,37.53,127.07,1,0,0,0,0
83,IMG_3358.png,3024,4032,37.53,127.07,1,0,0,0,0
84,IMG_9816.png,1536,2049,37.53,127.07,0,1,0,0,0
85,IMG_9817.png,1152,1536,37.53,127.07,0,1,0,0,0
86,IMG_9818.png,1536,2049,37.53,127.07,0,1,0,0,0
87,IMG_9819.png,1152,1536,37.53,127.07,0,1,0,0,0
88,IMG_9717.png,1536,2049,37.53,127.07,0,0,0,0,1
89,IMG_9718.png,1152,1536,37.53,127.07,0,0,0,0,1
90,IMG_9719.png,1536,2049,37.53,127.07,0,0,0,0,1
91,IMG_9720.png,1536,2049,37.53,127.07,0,0,0,0,1
92,IMG_4060.png,3024,4032,37.55,127.22,0,1,0,0,0
93,IMG_4061.png,3024,4032,37.55,127.22,0,1,0,0,0
94,IMG_4063.png,3024,4032,37.55,127.22,0,1,0,0,0
95,IMG_4064.png,3024,4032,37.55,127.22,0,1,0,0,0
96,IMG_4071.png,3024,4032,37.55,127.22,0,1,0,0,0
97,IMG_4072.png,3024,4032,37.55,127.22,0,1,0,0,0
98,IMG_4073.png,3024,4032,37.55,127.22,0,1,0,0,0
99,IMG_4074.png,3024,4032,37.55,127.22,0,1,0,0,0
100,IMG_4052.png,3024,4032,37.55,127.22,0,1,0,0,0
101,IMG_4053.png,3024,4032,37.55,127.22,0,1,0,0,0
102,IMG_4054.png,3024,4032,37.55,127.22,0,1,0,0,0
103,IMG_4055.png,3024,4032,37.55,127.22,0,1,0,0,0
104,IMG_0068.png,1536,2049,37.67,126.82,1,0,0,0,0
105,IMG_0069.png,1152,1536,37.67,126.82,1,0,0,0,0
106,IMG_0033.png,1536,2049,37.67,126.82,0,0,0,0,1
107,IMG_0034.png,1152,1536,37.67,126.82,0,0,0,0,1
108,IMG_4101.png,3024,4032,37.56,127.18,1,0,0,0,0
109,IMG_4102.png,3024,4032,37.56,127.18,1,0,0,0,0
110,IMG_4103.png,3024,4032,37.56,127.18,1,0,0,0,0
111,IMG_4104.png,3024,4032,37.56,127.18,1,0,0,0,0
112,IMG_4096.png,3024,4032,37.56,127.18,0,0,0,1,0
113,IMG_4097.png,3024,4032,37.56,127.18,0,0,0,1,0
114,IMG_4098.png,3024,4032,37.56,127.18,0,0,0,1,0
115,IMG_4099.png,3024,4032,37.56,127.18,0,0,0,1,0
